No,S,T,Typology,FAR,Env_R,E_R,total_inh,n_total,lca_total,solar_sc,solar_au
170,3,7,2,3.032621,1,2,3096,54.34692952,10.48610523,0.510537898,0.315026313
171,4,6,2,2.384204,1,2,2251,56.32216629,10.20456621,0.642272523,0.349868466
172,3,6,2,2.384204,1,2,2615,55.8018031,10.13147215,0.535153753,0.316440463
173,4,5,2,2.783806,1,2,2474,57.12878035,10.86415849,0.69719871,0.341785576
174,3,5,2,2.783806,1,2,2918,55.78793237,10.71141881,0.534812842,0.308319997
175,4,4,1,4.457837,1,2,3308,51.27814288,15.17048368,0.954528723,0.21042249
176,3,4,1,4.457837,1,2,3983,47.04957364,14.768793,0.801911999,0.224934623
177,4,3,1,5.610568,1,2,4062,48.50095407,13.30886339,0.944855347,0.218508532
178,3,3,1,5.610568,1,2,4767,44.06747082,12.91738252,0.783095741,0.223062681
179,4,2,1,3.531471,1,2,2837,49.49572958,14.40520092,0.925327673,0.250792738
180,3,2,1,3.531471,1,2,3372,48.90451405,14.28145298,0.766896783,0.237304744
181,2,1,7,0,2,2,994,55.280519,4.666903588,0.443720013,0.282628792
182,1,1,7,0,2,2,1003,59.97600726,5.036873295,0.67168932,0.334138693
183,4,19,6,1.981873,2,2,2056,52.59180241,10.2238071,0.842287724,0.313835668
184,3,19,6,1.981873,2,2,2452,47.75715897,9.771679661,0.561412411,0.273607937
185,4,18,6,0.815402,2,2,1385,55.32692391,8.189478973,0.629284641,0.363818605
186,1,18,6,0.815402,2,2,1440,57.18014711,8.303304517,0.622448585,0.349024822
187,3,18,6,0.815402,2,2,1611,55.5257682,8.144559313,0.512562687,0.322210239
188,2,18,6,0.815402,2,2,1430,52.01879122,7.908912816,0.42171964,0.300992581
189,4,17,6,1.377649,2,2,1689,53.25308351,9.538511075,0.702939169,0.344641946
190,1,17,6,1.377649,2,2,1728,55.12781196,9.712182114,0.694816847,0.324149123
191,3,17,6,1.377649,2,2,1966,52.54200598,9.434810805,0.567315729,0.307289098
192,4,16,5,2.969017,2,2,2649,48.40063892,10.6652945,0.750533789,0.320953119
193,3,16,5,2.969017,2,2,3091,48.10916691,10.56875437,0.590443461,0.282862817
